LAT,LON,T2M
9.5,-75.625,28.744270072992702
9.5,-75.0,28.549215328467152
9.5,-74.375,29.286514598540148
9.5,-73.75,29.336222627737225
9.5,-73.125,26.479187956204377
9.5,-72.5,30.11624087591241
10.0,-76.875,28.275529197080292
10.0,-76.25,28.44171532846715
10.0,-75.625,28.863266423357665
10.0,-75.0,28.5980200729927
10.0,-74.375,29.22383211678832
10.0,-73.75,29.43729927007299
10.0,-73.125,22.921231751824816
10.0,-72.5,28.410282846715326
10.5,-76.875,28.22698905109489
10.5,-76.25,28.31241788321168
10.5,-75.625,28.644105839416056
10.5,-75.0,28.602600364963504
10.5,-74.375,28.36484489051095
10.5,-73.75,22.596906934306567
10.5,-73.125,23.01190693430657
10.5,-72.5,25.084753649635037
11.0,-76.875,28.185474452554743
11.0,-76.25,28.18299270072993
11.0,-75.625,28.14784671532847
11.0,-75.0,28.19146897810219
11.0,-74.375,27.526386861313867
11.0,-73.75,22.301021897810216
11.0,-73.125,24.675757299270074
11.0,-72.5,26.31241788321168
11.5,-76.875,28.146332116788322
11.5,-76.25,28.083841240875913
11.5,-75.625,27.996989051094893
11.5,-75.0,27.950693430656933
11.5,-74.375,27.596441605839416
11.5,-73.75,26.615501824817517
11.5,-73.125,27.744379562043797
11.5,-72.5,28.371423357664234
