LAT,LON,YEAR,MO,DY,PRECTOTCORR,T2M,ALLSKY_KT,ALLSKY_SFC_SW_DWN,RH2M
5.5,-72.5,2022,3,6,16.31,19.43,0.34,3.47,83.32
6.5,-72.5,2022,3,6,9.64,12.3,0.29,2.98,85.41
2.5,-72.5,2022,3,7,2.97,25.44,0.51,5.36,87.05
3.5,-72.5,2022,3,7,1.17,26.39,0.57,5.9,79.17
4.5,-72.5,2022,3,7,2.44,27.1,0.55,5.69,73.93
5.5,-72.5,2022,3,7,2.7,18.68,0.39,4.02,83.17
6.5,-72.5,2022,3,7,2.33,12.11,0.3,3.11,86.15
2.5,-72.5,2022,3,8,0.02,25.06,0.52,5.46,87.29
3.5,-72.5,2022,3,8,0.07,26.19,0.48,5.04,78.31
4.5,-72.5,2022,3,8,0.04,28.45,0.51,5.3,66.25
5.5,-72.5,2022,3,8,0.14,19.36,0.41,4.26,76.74
6.5,-72.5,2022,3,8,0.64,12.43,0.4,4.15,82.41
2.5,-72.5,2022,3,9,0.01,25.75,0.51,5.36,86.59
3.5,-72.5,2022,3,9,0.0,26.55,0.49,5.06,79.3
4.5,-72.5,2022,3,9,0.0,27.74,0.51,5.33,71.21
5.5,-72.5,2022,3,9,0.01,19.08,0.46,4.73,80.01
6.5,-72.5,2022,3,9,0.02,11.88,0.41,4.22,83.46
2.5,-72.5,2022,3,10,0.19,25.81,0.54,5.65,88.98
3.5,-72.5,2022,3,10,0.0,26.97,0.55,5.78,78.25
4.5,-72.5,2022,3,10,0.03,27.82,0.58,6.04,71.05
5.5,-72.5,2022,3,10,1.15,19.29,0.46,4.8,81.78
6.5,-72.5,2022,3,10,2.42,11.66,0.34,3.49,87.01
2.5,-72.5,2022,3,11,21.48,25.86,0.5,5.27,90.65
3.5,-72.5,2022,3,11,23.02,26.92,0.51,5.31,82.5
4.5,-72.5,2022,3,11,18.54,27.63,0.55,5.69,75.56
5.5,-72.5,2022,3,11,10.28,19.56,0.45,4.69,83.89
6.5,-72.5,2022,3,11,1.77,11.39,0.38,3.93,89.23
2.5,-72.5,2022,3,12,4.83,26.11,0.51,5.31,88.28
3.5,-72.5,2022,3,12,5.63,26.41,0.44,4.62,85.4
4.5,-72.5,2022,3,12,7.74,26.2,0.4,4.18,83.2
5.5,-72.5,2022,3,12,6.42,18.43,0.41,4.24,88.62
6.5,-72.5,2022,3,12,3.92,10.24,0.4,4.14,88.76
2.5,-72.5,2022,3,13,19.17,24.15,0.19,1.98,95.69
3.5,-72.5,2022,3,13,22.86,25.6,0.3,3.1,87.61
4.5,-72.5,2022,3,13,26.38,25.3,0.32,3.36,86.79
5.5,-72.5,2022,3,13,17.04,19.01,0.3,3.11,84.65
6.5,-72.5,2022,3,13,2.56,12.19,0.4,4.13,86.11
2.5,-72.5,2022,3,14,28.32,24.73,0.34,3.58,91.49
3.5,-72.5,2022,3,14,31.23,25.63,0.28,2.98,88.21
